rank,edge_id,road_name,length_m,traffic_volume,mean_speed_kmh,waiting_per_sampled_s,timeLoss_per_sampled_s,mean_queue_length_m,max_queue_length_m,hotspot_score
82,1315231082#0,Kampung Kaka,0.14,63,33.169,0.0,0.655,0.0,0.0,77.729
83,979454448#2,Jalan Masjid Kapitan Keling,46.2,349,39.608,0.0,0.456,0.0,0.0,77.621
84,579074813,Gat Jalan Magazine,11.0,40,32.067,0.0,0.678,0.0,0.0,77.548
85,-747362366#4,Lebuh Chulia,19.06,28,31.714,0.0,0.677,0.0,0.0,77.488
86,1258165055,Jalan Masjid Kapitan Keling,19.34,330,44.54,0.0,0.537,0.0,0.0,76.836
87,41593080#0,Lebuh Carnarvon,30.96,63,36.416,0.0,0.63,0.0,0.0,76.824
88,179564510#1,Gat Lebuh Noordin,40.05,53,26.076,0.187,0.415,0.0,0.0,76.703
89,41593078,(unnamed),54.53,121,37.569,0.022,0.527,0.084,5.13,76.582
90,23109528#11,Lebuh Farquhar,19.93,255,43.641,0.0,0.552,0.0,0.0,76.486
91,31250742#1,Lebuh Cannon,27.37,484,30.018,0.0,0.274,0.0,0.0,76.208
92,31250291#2,Lebuh Gereja,31.44,64,25.287,0.075,0.401,0.0,0.0,75.942
93,137903943#0,Lebuh Leith,30.11,16,32.52,0.0,0.585,0.0,0.0,75.845
94,232887452#0,Lebuh Pantai,19.97,86,36.71,0.0,0.537,0.0,0.0,75.459
95,137931885#0,Lorong Pasar,19.88,267,32.641,0.0,0.344,0.0,0.0,75.435
96,160439701#0,Lebuh Pantai,67.1,273,43.033,0.0,0.454,0.0,0.0,75.35
97,-275395206,Lebuh Leith,9.8,85,27.263,0.0,0.429,0.0,0.0,75.266
98,31250739#0,Lebuh Acheh,56.67,233,31.846,0.0,0.359,0.0,0.0,75.193
99,-137931894#2,Lorong Chulia,36.05,215,29.919,0.023,0.315,0.0,0.0,75.072
100,179564507#0,Gat Lebuh Presgrave,6.85,32,26.777,0.0,0.468,0.0,0.0,74.94
101,41657436#0,Jalan Masjid Kapitan Keling,47.02,182,44.635,0.0,0.549,0.0,0.0,74.179
102,232874888#0,Jalan Sultan Ahmad Shah,24.75,452,50.229,0.0,0.492,0.0,0.0,74.082
103,758391360,Lebuhraya Tun Doktor Lim Chong Eu,27.68,434,45.773,0.0,0.42,0.0,0.0,74.046
104,747362364#0,Jalan Masjid Kapitan Keling,32.96,209,45.209,0.0,0.54,0.0,0.0,74.022
105,31250667,Lebuh Victoria,42.54,43,37.353,0.0,0.54,0.0,0.0,73.998
106,179566164#0,Jalan Doktor Lim Chwee Leong,15.51,541,52.3,0.003,0.471,0.0,0.0,73.973
107,137903940#0,Lebuh Chulia,14.36,16,26.227,0.0,0.436,0.0,0.0,73.792
108,706923916#3,Lebuh Chulia,64.48,246,51.433,0.175,0.479,0.249,15.2,73.732
109,784811174,Jalan Masjid Kapitan Keling,15.78,349,49.663,0.0,0.496,0.0,0.0,73.394
110,1309612330#2,Lebuh Presgrave,33.38,239,30.584,0.0,0.292,0.0,0.0,73.309
111,978296550#1,Lebuh Farquhar,41.78,550,54.687,0.0,0.452,0.0,0.0,73.285
112,137931894#0,Lorong Chulia,19.82,54,29.657,0.0,0.408,0.0,0.0,73.225
113,979454447,Lebuh Chulia,32.93,160,45.078,0.0,0.546,0.0,0.0,73.188
114,31250668#0,Lebuh Leith,61.35,369,50.645,0.0,0.49,0.0,0.0,73.128
115,585657737,Gat Lebuh Chulia,19.49,43,42.282,0.0,0.583,0.0,0.0,72.85
116,706923916#0,Lebuh Chulia,12.16,386,52.086,0.0,0.472,0.0,0.0,72.754
117,42850528#2,Lebuh Pasar,61.81,138,32.157,0.001,0.349,0.0,0.0,72.657
118,65692233#1,Jalan Pintal Tali,28.3,133,31.851,0.0,0.353,0.0,0.0,72.597
119,41593077#2,Jalan Doktor Lim Chwee Leong,0.7,527,32.922,0.0,0.184,0.0,0.0,72.572
120,-747362366#3,Lebuh Chulia,29.69,28,35.618,0.0,0.466,0.0,0.0,72.536
121,204621947#2,Lebuh Carnarvon,36.61,433,49.446,0.0,0.429,0.0,0.0,72.403
122,-275395207,Lebuh Muntri,41.57,39,31.424,0.035,0.376,0.0,0.0,72.379
123,979454442#2,Jalan Argyll,5.35,264,45.628,0.0,0.422,0.0,0.0,72.379
124,579261137#1,Lorong Love,62.53,481,37.615,0.0,0.238,0.0,0.0,72.343
125,31283701#4,Lebuh Pantai,18.71,386,46.907,0.0,0.406,0.0,0.0,72.21
